persona_id,nombre,pais_persona,pais_vinculo,campo,texto
25,Álvaro de Galleguillos y Riberos de Castilla,chile,peru,lugar_fallecimiento_parseado,"Hacienda Pachingo - Valle de Limarí , La Serena o Coquimbo , Reino de Chile Imperio español"
27,Álvaro de Soto,peru,argentina,lugar_nacimiento_parseado,"Buenos Aires , Argentina"
39,Ángel Vázquez Mellado,mexico,chile,lugar_nacimiento_parseado,"Santiago de Querétaro , Querétaro , México"
41,Ángel de Iturbide y Huarte,chile,mexico,lugar_fallecimiento_parseado,"Ciudad de México , México"
69,Óscar Ugarteche,peru,mexico,residencia,"Ciudad de México , México"
73,Aarón de Anchorena,argentina,uruguay,lugar_fallecimiento_parseado,"Estancia Anchorena , Colonia , Uruguay Uruguay"
126,Agustín Edwards Ossandón,chile,peru,lugar_fallecimiento_parseado,"Limache , Chile"
136,Agustín Pedro Justo,argentina,uruguay,lugar_nacimiento_parseado,"Concepción del Uruguay , Entre Ríos , Argentina"
194,Alberto Montt,chile,ecuador,lugar_nacimiento_parseado,"Quito , Ecuador"
197,Alberto Otárola,peru,chile,residencia,"Santiago de Surco , Lima , Perú"
234,Alejandra Botero Barco,colombia,venezuela,lugar_nacimiento_parseado,"Caracas , Venezuela"
273,Alejandro Lyons,colombia,argentina,lugar_nacimiento_parseado,"Sahagún , Córdoba , Colombia"
299,Alessia Injoque,chile,peru,lugar_nacimiento_parseado,Lima ( Perú )
300,Alessia Rovegno,peru,chile,lugar_nacimiento_parseado,"Santiago de Surco , Lima ( Perú )"
320,Alfonso Reyes Echandía,colombia,peru,lugar_nacimiento_parseado,"Chaparral , Tolima , Colombia"
355,Alfredo Vásquez Cobo,colombia,chile,lugar_nacimiento_parseado,"Santiago de Cali , Estado Soberano del Cauca , Estados Unidos de Colombia ."
366,Alicia Puyana Mutis,colombia,mexico,residencia,México
385,Alonso II de Fonseca,peru,chile,lugar_fallecimiento_parseado,Santiago de Compostela (España)
388,Alonso Martín de Don Benito,chile,peru,lugar_fallecimiento_parseado,Lima (capital del Virreinato del Perú ) Imperio español
411,Ambrosio O'Higgins,chile,peru,lugar_fallecimiento_parseado,"(80-81 años) Lima , Virreinato del Perú , Imperio español"
415,Amenodoro Urdaneta,colombia,venezuela,lugar_fallecimiento_parseado,"Caracas , Venezuela"
436,Ana Faustina Sarmiento,argentina,chile,lugar_nacimiento_parseado,Chile
446,Ana María Orozco,colombia,argentina,residencia,Buenos Aires
453,Ana Monterroso de Lavalleja,uruguay,argentina,lugar_fallecimiento_parseado,Buenos Aires ( Argentina )
454,Ana Monterroso de Lavalleja,uruguay,argentina,lugar_fallecimiento_parseado,Buenos Aires ( Argentina )
459,Anacarsis Lanús,argentina,uruguay,lugar_nacimiento_parseado,Concepción del Uruguay ( Argentina )
466,Andrés Aramburú Salinas,peru,chile,lugar_fallecimiento_parseado,"Santiago de Chile , Chile Chile"
468,Andrés Aramburú Salinas,peru,chile,lugar_fallecimiento_parseado,"Santiago de Chile , Chile Chile"
471,Andrés Balanta,colombia,argentina,lugar_fallecimiento_parseado,San Miguel de Tucumán Argentina
472,Andrés Bello,chile,venezuela,lugar_nacimiento_parseado,"Caracas , Capitanía General de Venezuela , Imperio español"
507,Andrés de Santa Cruz,peru,bolivia,lugar_nacimiento_parseado,"Huarina , intendencia de La Paz , virreinato del Río de la Plata , Imperio Español"
520,Anel Townsend,peru,chile,residencia,"Santiago de Surco , Lima , Perú"
548,Antonino Taboada,argentina,chile,lugar_nacimiento_parseado,"Villa Matará , provincia de Santiago del Estero , 1814"
563,Antonio Calzada Urquíza,mexico,chile,lugar_fallecimiento_parseado,Santiago de Querétaro (México)
563,Antonio Calzada Urquíza,mexico,chile,lugar_nacimiento_parseado,Santiago de Querétaro ( México )
572,Antonio Gómez de Galleguillos,chile,peru,lugar_fallecimiento_parseado,"Hacienda Pachingo - Valle de Limarí , La Serena o Coquimbo , Reino de Chile Imperio español"
576,Antonio González Balcarce,argentina,peru,lugar_nacimiento_parseado,"Buenos Aires , Virreinato del Perú"
579,Antonio Guízar y Valencia,mexico,bolivia,lugar_nacimiento_parseado,"Cotija de la Paz , Michoacán , México"
582,Antonio Guzmán Blanco,colombia,venezuela,lugar_nacimiento_parseado,"Caracas , Departamento de Venezuela , Distrito de Venezuela , Gran Colombia"
587,Antonio José Sucre Alcalá,venezuela,ecuador,lugar_fallecimiento_parseado,Babahoyo ( Ecuador )
589,Antonio José de Sucre,colombia,venezuela,lugar_nacimiento_parseado,"Cumaná , Intendencia de Caracas , Capitanía General de Venezuela , Imperio español"
608,Antonio Podestá,argentina,uruguay,lugar_nacimiento_parseado,Uruguay Uruguay Montevideo
609,Antonio Ricaurte,colombia,venezuela,lugar_fallecimiento_parseado,"San Mateo (Venezuela) , Estado Aragua , Provincia de Caracas , Segunda República de Venezuela"
621,Antonio de Berrío,colombia,venezuela,lugar_fallecimiento_parseado,Ciudad Bolívar ( Venezuela )
622,Antonio de Boza y Garcés,chile,peru,lugar_fallecimiento_parseado,Lima ( Perú )
630,Antonio de la Rúa (político),argentina,chile,lugar_nacimiento_parseado,Choya (Santiago del Estero) ( Argentina )
635,Aquiles Vergara,chile,bolivia,lugar_fallecimiento_parseado,"La Paz , Bolivia"
670,Arturo Edwards Ross,chile,bolivia,lugar_fallecimiento_parseado,"La Paz , Bolivia"
683,Arturo Podestá,argentina,uruguay,lugar_nacimiento_parseado,Montevideo Uruguay
687,Arturo Rawson,argentina,chile,lugar_nacimiento_parseado,"Santiago del Estero , Argentina"
705,Augusto Belín Sarmiento,argentina,chile,lugar_nacimiento_parseado,Chile
766,Baltasar Unquera,uruguay,argentina,lugar_fallecimiento_parseado,Buenos Aires
772,Bartolomé Mitre Vedia,argentina,uruguay,lugar_nacimiento_parseado,"Montevideo , Uruguay"
807,Benjamín Subercaseaux,chile,peru,lugar_fallecimiento_parseado,"Tacna , Perú"
808,Benjamín Vicuña,chile,argentina,residencia,Argentina
826,Bernardo Joaquín de Anzoátegui,argentina,uruguay,lugar_fallecimiento_parseado,"Montevideo , Uruguay"
831,Bernardo O'Higgins,chile,peru,residencia,"Lima ( Casa O'Higgins ), Perú (1823-1842)"
831,Bernardo O'Higgins,chile,peru,lugar_nacimiento_parseado,"San Bartolomé de Chillán y Gamboa , provincia de Chillán , reino de Chile , virreinato del Perú ,..."
837,Bertha Puga,chile,colombia,lugar_fallecimiento_parseado,"Bogotá , Colombia"
858,Braulio Guerra Malo,mexico,chile,lugar_fallecimiento_parseado,"Santiago de Querétaro , Querétaro , México"
858,Braulio Guerra Malo,mexico,chile,lugar_nacimiento_parseado,"Santiago de Querétaro , Querétaro , México"
912,Carlos Antonio López,paraguay,argentina,residencia,"Ybyray, Casa Alta y Villa del Rosario"
913,Carlos Antonio Lis,colombia,peru,lugar_fallecimiento_parseado,"Prado (Tolima) , Colombia"
913,Carlos Antonio Lis,colombia,peru,lugar_nacimiento_parseado,"Natagaima , Tolima , Colombia"
921,Carlos Basadre Forero,peru,chile,lugar_fallecimiento_parseado,"Tacna , Chile Chile"
939,Carlos Cuervo Márquez,colombia,mexico,lugar_fallecimiento_parseado,"Ciudad de México , México"
954,Carlos Ferrero Costa,peru,chile,residencia,"Santiago de Surco , Lima , Perú"
966,Carlos Holguín Sardi,colombia,chile,lugar_nacimiento_parseado,"Santiago de Cali , Colombia ."
1055,Carlos Vial Espantoso,chile,peru,lugar_nacimiento_parseado,"Lima , Perú"
1100,Carolina Mestrovic,argentina,chile,lugar_nacimiento_parseado,Arica ( Chile )
