par,tipo_senal,n
Argentina ↔ Peru,Nació allí,39
Chile ↔ Peru,Murió allí,36
Argentina ↔ Uruguay,Nació allí,29
Argentina ↔ Uruguay,Murió allí,27
Chile ↔ Peru,Nació allí,27
Colombia ↔ Peru,Nació allí,21
Argentina ↔ Chile,Nació allí,18
Argentina ↔ Colombia,Nació allí,18
Chile ↔ Mexico,Nació allí,18
Chile ↔ Peru,Residió allí,18
Argentina ↔ Peru,Murió allí,16
Argentina ↔ Chile,Murió allí,11
Chile ↔ Colombia,Nació allí,10
Argentina ↔ Chile,Residió allí,8
Chile ↔ Mexico,Murió allí,8
Argentina ↔ Bolivia,Murió allí,7
Colombia ↔ Peru,Murió allí,7
Argentina ↔ Colombia,Murió allí,6
Colombia ↔ Venezuela,Nació allí,6
Argentina ↔ Mexico,Residió allí,5
Colombia ↔ Ecuador,Nació allí,5
Argentina ↔ Peru,Residió allí,4
Chile ↔ Colombia,Murió allí,4
Colombia ↔ Mexico,Residió allí,4
Colombia ↔ Venezuela,Murió allí,4
Ecuador ↔ Peru,Nació allí,4
Mexico ↔ Peru,Murió allí,4
Mexico ↔ Peru,Residió allí,4
Argentina ↔ Bolivia,Nació allí,3
Argentina ↔ Bolivia,Residió allí,3
Argentina ↔ Uruguay,Residió allí,3
Argentina ↔ Venezuela,Murió allí,3
Bolivia ↔ Peru,Nació allí,3
Chile ↔ Uruguay,Residió allí,3
Chile ↔ Venezuela,Nació allí,3
Colombia ↔ Ecuador,Murió allí,3
Argentina ↔ Colombia,Residió allí,2
Argentina ↔ Paraguay,Murió allí,2
Argentina ↔ Paraguay,Nació allí,2
Bolivia ↔ Chile,Murió allí,2
Bolivia ↔ Mexico,Nació allí,2
Bolivia ↔ Peru,Murió allí,2
Chile ↔ Ecuador,Nació allí,2
Colombia ↔ Mexico,Nació allí,2
Ecuador ↔ Peru,Murió allí,2
Ecuador ↔ Peru,Trabajó allí,2
Argentina ↔ Chile,Trabajó allí,1
Argentina ↔ Colombia,Trabajó allí,1
Argentina ↔ Mexico,Murió allí,1
Argentina ↔ Mexico,Nació allí,1
Argentina ↔ Paraguay,Residió allí,1
Argentina ↔ Venezuela,Nació allí,1
Argentina ↔ Venezuela,Residió allí,1
Bolivia ↔ Mexico,Murió allí,1
Bolivia ↔ Mexico,Residió allí,1
Bolivia ↔ Uruguay,Trabajó allí,1
Chile ↔ Ecuador,Murió allí,1
Chile ↔ Mexico,Residió allí,1
Chile ↔ Uruguay,Murió allí,1
Colombia ↔ Ecuador,Residió allí,1
Colombia ↔ Mexico,Murió allí,1
Colombia ↔ Paraguay,Murió allí,1
Colombia ↔ Paraguay,Nació allí,1
Colombia ↔ Venezuela,Residió allí,1
Ecuador ↔ Mexico,Murió allí,1
Ecuador ↔ Venezuela,Murió allí,1
Mexico ↔ Peru,Nació allí,1
Mexico ↔ Venezuela,Murió allí,1
