person_id,nombre,url,familia,pais,pais_origen,fecha_nacimiento,lugar_nacimiento,fecha_fallecimiento,lugar_fallecimiento,nacionalidad,ocupacion,partido_politico,religion,residencia,padres,conyuge,pareja,hijos,hermanos,biografia_inicial,cargos,n_cargos,familiares,n_familiares,tipos_relacion,conexion_otros_paises,ano_nacimiento,ano_fallecimiento,cargo_1,cargo_2,cargo_3,partido_limpio,nacimiento_ano,fallecimiento_ano
amador_vaz_de_alpoim,Amador Vaz de Alpoim,https://es.wikipedia.org/wiki/Amador_Vaz_de_Alpoim,Familia Alpoim,argentina,argentina,1568 Isla de Santa María ( Portugal ),NA,1617 Buenos Aires ( Argentina ),NA,NA,Explorador,NA,NA,NA,NA,NA,NA,NA,NA,"Amador Vaz de Alpoim (1568–1617) fue un noble portugués , militar, [ 1 ] ​ conquistador y explorador de América del Sur . [ 2 ] ​  Fundó el linaje Cabral de Melo Alpoim en el Río de la Plata , descendiente de los primeros pobladores de las islas Azores . [ 3 ] ​",NA,NA,NA,NA,NA,NA,1568,1617,Conquistador,Explorador,NA,NA,1568,1617
manuel_cabral_de_melo_y_alpoin,Manuel Cabral de Melo y Alpoin,https://es.wikipedia.org/wiki/Manuel_Cabral_de_Melo_y_Alpoin,Familia Alpoim,argentina,argentina,"e/ 1.º y 4 de enero de 1591 Vila do Porto (de la isla de Santa María , archipiélago de las Azores ) Imperio luso - español",NA,"e/ 21 de junio y 21 de septiembre de 1676 Buenos Aires (capital de la gobernación del Río de la Plata , Virreinato del Perú ) Imperio español",NA,NA,"Militar , conquistador , poblador , hacendado , empresario agroindustrial , comerciante , funcionario y gobernante colonial",NA,Católico,NA,Amador Vaz de Alpoim (https://es.wikipedia.org/wiki/Amador_Vaz_de_Alpoim),Inés Arias de Mansilla y Espinosa Juana Delgado de Espinosa,NA,Véase: Descendencia,NA,"Manuel Cabral de Melo y Alpoin o bien Manuel Cabral de Alpoim ( Vila do Porto de la isla de Santa María de las Azores , Portugal de la Monarquía Hispánica , e/ 1.º y 4 de enero de 1591- Buenos Aires , gobernación del Río de la Plata , e/21 de junio y 21 de septiembre de 1676) era un noble portugués y militar luso - español , además de conquistador , poblador , hacendado , empresario agroindustrial , comerciante y funcionario , y que fuera nombrado como teniente de gobernador de Corrientes en dos períodos, desde 1629 hasta 1633 y desde 1634 hasta 1636, además de ser nombrado como alcalde de Corrientes en el año 1656.",NA,NA,NA,NA,NA,NA,1591,1676,Teniente de Gobernador de Corrientes,Alcalde de Corrientes,NA,NA,1591,1676
manuel_maciel_y_cabral_de_alpoin,Manuel Maciel y Cabral de Alpoin,https://es.wikipedia.org/wiki/Manuel_Maciel_y_Cabral_de_Alpoin,Familia Alpoim,argentina,argentina,"1690 Corrientes (de la tenencia de gobierno homónima , gobernación del Río de la Plata del Virreinato del Perú ) Imperio español",NA,"20 de octubre de 1764 Santa Fe (de la tenencia de gobierno homónima , gobernación del Río de la Plata del Virreinato del Perú ) Imperio español",NA,Española,"Militar , conquistador , explorador , hacendado , funcionario y gobernante colonial",NA,Católica,NA,NA,NA,NA,NA,NA,"Manuel Maciel y Cabral de Alpoin o simplemente Manuel Maciel y nacido como Manuel Maciel de la Cueva y Cabral de Melo y Alpoin ( Corrientes , 1690 - Santa Fe , 20 de octubre de 1764) fue un militar , explorador , burócrata , hacendado y funcionario de gobierno colonial español en la actual Argentina que, como capitán de caballería , ostentó el cargo de alcalde de la ciudad de Corrientes en 1714. Al cambiar su residencia a la tenencia de gobierno de Santa Fe en el primer cuarto del siglo XVIII , fue nombrado varias veces como alcalde de primer voto y juez de Rentas de la ciudad homónima en 1726, en 1734 y en 1747, además de regidor en esta segunda fecha. Designado procurador general de la misma urbe en 1737, fue el mentor de la proclamación de Santa Fe como « Puerto Preciso », con un dictamen favorable en 1739. Llegó a convertirse en maestre de campo general en 1741, al actuar en las campañas de pacificación de los aborígenes chaqueños . Era nieto del fidalgo portugués Manuel Cabral de Melo y Alpoin que fuera teniente de gobernador de Corrientes hasta principios de 1636 y también alcalde de la urbe en 1656.",NA,NA,NA,NA,NA,nacionalidad_distinta_al_pais,1690,1764,Alcalde de Corrientes,Alcalde de Santa Fe,Maestre de campo general,NA,1690,1764
jos_e_ignacio_de_gorriti,José Ignacio de Gorriti,https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_de_Gorriti,Familia Zuviría,argentina,argentina,"30 de julio de 1770 San Salvador de Jujuy , Gobernación del Tucumán , Virreinato del Perú",NA,"10 de noviembre de 1835 (65 años) La Plata , Chuquisaca , Bolivia",NA,Argentina,Militar,Unitario,NA,NA,NA,Feliciana Zuviría,NA,Juana Manuela Gorriti (https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti),NA,"José Ignacio de Gorriti , nacido como José Francisco Ignacio de Gorriti ( San Salvador de Jujuy , 30 de julio de 1770 - Chuquisaca , 10 de noviembre de 1835) fue un abogado , militar y político argentino , que se destacó por su ayuda y acción en la Guerra de Independencia de la Argentina . Fue reiteradas veces gobernador de la provincia de Salta y representó a esta provincia como diputado en el Congreso de Tucumán de 1816.",NA,NA,NA,NA,NA,mismo_pais,1770,1835,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,Unitario,1770,1835
juana_manuela_gorriti,Juana Manuela Gorriti,https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,Familia Zuviría,argentina,argentina,15 de junio de 1818 Rosario de la Frontera ( Provincias Unidas del Río de la Plata ),NA,6 de noviembre de 1892 (74 años) Buenos Aires ( Argentina ),NA,Argentina,Escritora y periodista,NA,NA,NA,José Ignacio Gorriti (https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Gorriti),Manuel Isidoro Belzu (https://es.wikipedia.org/wiki/Manuel_Isidoro_Belzu),NA,Mercedes Belzú de Dorado (https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_de_Dorado),NA,"Juana Manuela Gorriti Zuviria ( Rosario de la Frontera , 15 de junio de 1818 [ 1 ] ​- Buenos Aires , 6 de noviembre de 1892) fue una escritora y cronista argentina , considerada la primera mujer novelista de la literatura argentina. Perteneciente al clan jujeño de los Gorriti , de importante actuación en la Independencia Argentina y en la Guerra Gaucha . Primera dama de Bolivia , esposa del presidente Manuel Belzú , fue testigo directo también de la consolidación de ese país. En su exilio en Lima continuó con su labor de tertulias culturales y sus escritos, fundando una revista cultural. Finalizó sus días en Buenos Aires, en su país natal.",NA,NA,NA,NA,NA,mismo_pais,1818,1892,Primera dama de Bolivia,NA,NA,NA,1818,1892
gustavo_mart_inez_zuvir_ia_hijo,Gustavo Martínez Zuviría (hijo),https://es.wikipedia.org/wiki/Gustavo_Mart%C3%ADnez_Zuvir%C3%ADa_%28hijo%29,Familia Zuviría,argentina,argentina,28 de diciembre de 1915 Santa Fe ( Argentina ),NA,27 de abril de 1991 (75 años) Santa Fe (Argentina) o Buenos Aires (Argentina),NA,Argentina,Militar y político,NA,NA,NA,NA,NA,NA,NA,NA,"Gustavo Adolfo Martínez Zuviría ( Santa Fe , 1915-1991) fue un militar argentino con actuación en la política. [ 2 ] ​ [ 3 ] ​ [ 4 ] ​",NA,NA,NA,NA,NA,mismo_pais,1915,1991,Militar argentino,Político argentino,NA,NA,1915,1991
jorge_mart_inez_zuvir_ia,Jorge Martínez Zuviría,https://es.wikipedia.org/wiki/Jorge_Mart%C3%ADnez_Zuvir%C3%ADa,Familia Zuviría,argentina,argentina,18 de agosto de 1920 Santa Fe ( Argentina ),NA,23 de julio de 2001 (80 años) Buenos Aires (Argentina),NA,Argentina,Oficial militar,NA,NA,NA,NA,NA,NA,NA,NA,"Jorge Miguel Martínez Zuviría ( Santa Fe , 18 de agosto de 1920- Buenos Aires , 23 de julio de 2001) [ 1 ] ​ fue un aviador militar argentino perteneciente a la Fuerza Aérea Argentina . Alcanzó la máxima jerarquía del escalafón aeronáutico y se desempeñó titular de dicha fuerza armada desde el 28 de agosto de 1968 hasta el 12 de marzo de 1970. [ 2 ] ​",NA,NA,NA,NA,NA,mismo_pais,1920,2001,Titular de la Fuerza Aérea Argentina,NA,NA,NA,1920,2001
horacio_velarde,Horacio Velarde,https://es.wikipedia.org/wiki/Horacio_Velarde,Familia Zuviría,argentina,argentina,"1915 Buenos Aires , Argentina",NA,"1939 (24 años) Buenos Aires , Argentina",NA,Argentina,Actor,NA,NA,NA,NA,NA,NA,NA,NA,"Horacio Velarde ( Buenos Aires , Argentina ; 1915 - ibídem , 1939) fue un galán muy famoso y prometedor de la época dorada cinematográfica argentina . Era sobrino del escritor Hugo Wast . [ 1 ] ​",NA,NA,NA,NA,NA,mismo_pais,1915,1939,NA,NA,NA,NA,1915,1939
hugo_wast,Hugo Wast,https://es.wikipedia.org/wiki/Hugo_Wast,Familia Zuviría,argentina,argentina,"23 de octubre de 1883 Córdoba , Argentina",NA,"28 de marzo de 1962 (78 años) Buenos Aires , Argentina",NA,Argentina,Político y escritor,Partido Demócrata Progresista,Católico,NA,NA,Matilde de Iriondo,NA,Gustavo Martínez Zuviría (h) (https://es.wikipedia.org/wiki/Gustavo_Mart%C3%ADnez_Zuvir%C3%ADa_(hijo)); Jorge Miguel Martínez Zuviría (https://es.wikipedia.org/wiki/Jorge_Miguel_Mart%C3%ADnez_Zuvir%C3%ADa),NA,"Gustavo Adolfo Martínez Zuviría , también conocido por su seudónimo Hugo Wast , ( Córdoba , 23 de octubre de 1883 - Buenos Aires , 28 de marzo de 1962) fue un escritor y político argentino . Alcanzó gran notoriedad en vida gracias al éxito comercial de sus novelas, de un tono costumbrista y nacionalista católico . También destacó por su acción política, especialmente a partir de la década de 1930, ejerciendo funciones públicas durante los gobiernos de la restauración conservadora , la dictadura del 43 y el peronismo .",NA,NA,NA,NA,NA,mismo_pais,1883,1962,Escritor,Político,NA,Partido Demócrata Progresista,1883,1962
facundo_zuvir_ia,Facundo Zuviría,https://es.wikipedia.org/wiki/Facundo_Zuvir%C3%ADa,Familia Zuviría,argentina,argentina,"26 de noviembre de 1794 Salta , Virreinato del Río de la Plata",NA,"19 de agosto de 1861 (66 años) Paraná , República Argentina",NA,Argentino,Jurisconsulto y político,Partido Unitario / liberal,NA,NA,Agustín Zuviría Marticorena Feliciana Castellanos de la Cerda y Plazaola Saravia,Isabel María Carlota de Lezama Quiñones,NA,"[Véase: "" Descendencia "" .]",NA,"Facundo de Zuviría nacido como José Facundo de Zuviría y Escobar Castellanos ( Salta , 26 de noviembre de 1794 - Paraná , Entre Ríos , 19 de agosto de 1861) fue un jurisconsulto y político argentino que como opositor a Juan Manuel de Rosas tuvo que exiliarse a Bolivia . Fue diputado y presidente del Congreso Nacional que culminaría con la sanción de la Constitución Argentina de 1853, además de haber sido senador nacional , ministro de Relaciones Exteriores y presidente nominal de la Corte Suprema de Justicia de la Nación Argentina .",NA,NA,NA,NA,NA,nacionalidad_distinta_al_pais,1794,1861,Presidente del Congreso Nacional,Senador nacional,Ministro de Relaciones Exteriores,Partido Unitario,1794,1861
