from,to,pais_origen,pais_destino
https://es.wikipedia.org/wiki/%C3%81lvaro_Holgu%C3%ADn_y_Caro,https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,venezuela,colombia
https://es.wikipedia.org/wiki/%C3%81lvaro_Holgu%C3%ADn_y_Caro,https://es.wikipedia.org/wiki/Margarita_Caro_Tobar,venezuela,colombia
https://es.wikipedia.org/wiki/%C3%81lvaro_Leyva,https://es.wikipedia.org/wiki/Jorge_Leyva_Urdaneta,venezuela,colombia
https://es.wikipedia.org/wiki/%C3%81lvaro_Leyva_Dur%C3%A1n,https://es.wikipedia.org/wiki/Jorge_Leyva_Urdaneta,venezuela,colombia
https://es.wikipedia.org/wiki/%C3%81lvaro_Lloreda,https://es.wikipedia.org/wiki/Rodrigo_Lloreda,ecuador,colombia
https://es.wikipedia.org/wiki/Alberto_Ballerini,https://es.wikipedia.org/wiki/Blanca_Podest%C3%A1,uruguay,argentina
https://es.wikipedia.org/wiki/Alberto_Lleras_Camargo,https://es.wikipedia.org/wiki/Bertha_Puga,colombia,chile
https://es.wikipedia.org/wiki/Alberto_Lleras_Puga,https://es.wikipedia.org/wiki/Bertha_Puga,colombia,chile
https://es.wikipedia.org/wiki/Alberto_Mu%C3%B1oz_Vernaza,https://es.wikipedia.org/wiki/Manuel_Mu%C3%B1oz_Borrero,colombia,ecuador
https://es.wikipedia.org/wiki/Alberto_Soto_de_la_Jara,https://es.wikipedia.org/wiki/Hernando_de_Soto_(economista,peru,argentina
https://es.wikipedia.org/wiki/Alberto_Uribe_Urdaneta,https://es.wikipedia.org/wiki/Marcelino_Uribe_Arango,venezuela,colombia
https://es.wikipedia.org/wiki/Alejandro_%C3%89der,https://es.wikipedia.org/wiki/Henry_Eder,ecuador,colombia
https://es.wikipedia.org/wiki/Alejandro_%C3%89der,https://es.wikipedia.org/wiki/Taliana_Vargas,ecuador,colombia
https://es.wikipedia.org/wiki/Alejandro_Ciangherotti,https://es.wikipedia.org/wiki/Alejandro_Ciangherotti_II,mexico,argentina
https://es.wikipedia.org/wiki/Alejandro_Ciangherotti,https://es.wikipedia.org/wiki/Mercedes_Soler_(actriz,mexico,argentina
https://es.wikipedia.org/wiki/Alejandro_Ciangherotti_II,https://es.wikipedia.org/wiki/Alejandro_Ciangherotti,mexico,argentina
